哲学体系,流派名,一句话描述
世界哲学,古希伯来哲学,约伯、传道书与智慧文学——信仰、苦难与神圣正义的追问。
世界哲学,古埃及哲学,玛阿特——宇宙秩序、真理与正义的永恒法则。
世界哲学,美索不达米亚哲学,苏美尔智慧文学追问苦难与秩序——人类最早的哲学追问。
世界哲学,印度哲学,《吠陀》《奥义书》为源头，六派哲学追问解脱。
世界哲学,犹太哲学,从斐洛到列维纳斯——雅典与耶路撒冷之间。
世界哲学,波斯哲学,琐罗亚斯德教善恶二元论——两千五百年的连续传统。
世界哲学,凯尔特哲学,德鲁伊传统与凯尔特智慧——自然、灵魂转世与森林中的哲学。
东方哲学,道家,道法自然，无为而治。
东方哲学,儒家,以仁为核心，以礼为规范。
世界哲学,古希腊哲学,西方哲学总源——以理性思辨取代神话解释。
西方哲学,前苏格拉底哲学,追问万物本原——西方哲学的第一个伟大时代。
东方哲学,墨家,兼爱非攻，尚贤节用。
东方哲学,兵家,知己知彼，不战屈人。
东方哲学,法家,以法治国，不别亲疏。
东方哲学,名家,白马非马——中国最早的逻辑学。
东方哲学,阴阳家,阴阳消长，五德终始。
西方哲学,犬儒学派,回归自然——以最少的物质需求达到最高的精神自由。
西方哲学,伊壁鸠鲁学派,快乐即至善——以理性计算实现无痛苦的身心状态。
西方哲学,斯多葛学派,控制可控的，接受不可控的——古代最持久的生活智慧。
西方哲学,怀疑论,对一切教条保持彻底的审慎——从皮浪到休谟的永恒怀疑传统。
东方哲学,两汉经学,通经致用，以经为法。
世界哲学,罗马哲学,西塞罗、塞内卡、马可·奥勒留——斯多葛与伊壁鸠鲁在帝国的实践。
西方哲学,新柏拉图主义,太一流溢——万物从太一中逐级派生终将回归太一。
东方哲学,魏晋玄学,越名教而任自然。
世界哲学,拜占庭哲学,东罗马帝国的神学哲学传统——伪狄奥尼修斯与拜占庭智慧。
西方哲学,教父哲学,以希腊理性为基督教信仰奠基。
东方哲学,隋唐佛学,八宗竞秀，会通中印。
世界哲学,伊斯兰哲学,凯拉姆与苏非——理性与启示的对话。
世界哲学,阿拉伯哲学,铿迪、法拉比、阿维森纳——中世纪哲学桥梁。
世界哲学,西藏哲学,宗喀巴体系——藏传佛教中观应成派。
东方哲学,宋明理学,为天地立心，为生民立命。
西方哲学,经院哲学,以亚里士多德逻辑构建理性圣殿。
西方哲学,唯名论,共相只是名称不是实在。
世界哲学,印加哲学,帕查与艾尼——安第斯的宇宙时空与互惠伦理。
世界哲学,非洲哲学,乌班图与去殖民化。
世界哲学,拉丁美洲哲学,从拉斯·卡萨斯到杜塞尔——解放的哲学。
世界哲学,玛雅哲学,《波波尔·乌》——循环时间观与玉米人。
世界哲学,阿兹特克哲学,第五太阳纪——花与歌的哲学回应。
世界哲学,东南亚哲学,上座部佛教与本土智慧的交融。
世界哲学,韩国哲学,性理学与实学——从四端七情到主体思想。
世界哲学,日本哲学,日本哲学以无与空为核心范畴——从佛教传入到京都学派的现代性对话。
东方哲学,明清实学,经世致用，实事求是。
东方哲学,乾嘉朴学,无征不信，孤证不立。
西方哲学,理性主义,以数学公理为范本。
西方哲学,经验主义,一切知识起源于感觉经验。
西方哲学,启蒙运动,敢于运用你自己的理性。
西方哲学,实在论,存在独立于心灵。
西方哲学,唯心主义,实在的本质是精神或观念。
西方哲学,自由主义,个人自由是最高政治价值。
西方哲学,浪漫主义,以情感和想象反抗启蒙理性。
西方哲学,德国古典哲学,从康德到黑格尔的哲学革命。
西方哲学,功利主义,最大多数人的最大幸福。
西方哲学,超验主义,美国精神独立宣言。
西方哲学,实证主义,只问如何不问为何。
