code,name,title,dim1,dim2,dim3,dim4,short_desc,full_desc
RRRR,理性的斯多葛公民,🔬 社会工程师,Rational,Stoic,Essentialist,Communitarian,你用逻辑和自律编织社会秩序，相信真理客观、规则至上。,"你的精神祖先是柏拉图和康德——你相信存在一个客观的理念世界（或道德法则），人类的任务是发现它、遵守它、并将它制度化。对你来说，个人自由不能凌驾于共同体的秩序之上，情感是理性的仆人而非主人。你适合当法官、系统架构师、或者一个铁腕但公正的君主。你的弱点是：有时你会忘记，不是所有人都能像你一样用逻辑压抑情绪。别人可能觉得你冷冰冰的，但你知道——你不是没有感情，你只是认为感情不应该成为决策的依据。"
RRRC,理性的伊壁鸠鲁公民,🏛️ 立法者,Rational,Epicurean,Essentialist,Communitarian,你以理性构建快乐最大化的制度，像一个设计乌托邦的工程师。,"你大概是边沁和密尔的精神继承人——你相信最大多数人的最大幸福是可以被计算出来的，而制度就是实现这一目标的工具。你喜欢制定规则、优化系统、设计流程，因为你认为一个好的制度比一个好心的人更可靠。你的快乐不是放纵，而是精心计算的。你的危险在于：有时你以为你在为所有人设计幸福，但实际上你只是在设计你理解的幸福。记住：不是每个人都想要被'优化'。"
RRSR,理性的斯多葛探索者,🧊 冷静的观察者,Rational,Stoic,Essentialist,Individualist,你是自己的立法者——你以理性和自律向内构建秩序，对世界保持距离。,"你的哲学偶像是斯宾诺莎和马可·奥勒留——你相信宇宙有其必然的逻辑，理解它就是自由。你不需要人群的认可，因为你的标准来自内心。你像一个从高处俯视人间的观察者，情绪被你看作干扰信号而非真实信息。你擅长独处，享受思考，但有时你过于抽离，忘了生活不是一道需要解开的方程，而是一场需要沉浸的体验。"
RRSC,理性的伊壁鸠鲁探索者,🎭 精致的享乐主义者,Rational,Epicurean,Essentialist,Individualist,你用理性计算什么让自己快乐，然后精准地追求它。,"你的灵魂导师是伊壁鸠鲁本人——不是那个被误解为纵欲者的伊壁鸠鲁，而是那个在花园里教人用理性消除恐惧的智者。你懂得快乐的数学：长期快乐 > 短期快乐，精神的宁静 > 感官的刺激。你是一个精致的利己主义者——但这并不是贬义，因为你知道，一个真正快乐的人不会去伤害别人。你的盲点：有时你的'理性计算'其实只是给欲望找一个体面的借口。"
RPER,理性的斯多葛存在者,⚙️ 责任机器,Rational,Stoic,Existentialist,Communitarian,你选择了责任——你用理性选择了你所承担的角色，然后用纪律把它做到极致。,"你的精神原型是萨特式的'投身'——你知道人生本无意义，但你选择用理性构建一个有意义的人生，并以斯多葛式的坚韧去执行。你的责任不是被强加的，而是你自由选择的——正因如此，你才如此认真地对待它。你像一个自己拧紧发条的钟表，精准而可靠。但别忘了：即使是钟表也需要上油和休息。你的弱点是可能会burnout，因为你总是觉得自己做得不够好。"
RPEC,理性的伊壁鸠鲁存在者,🎯 精算师,Rational,Epicurean,Existentialist,Communitarian,你像一个在虚无中开派对的人——既然一切终将消逝，不如用理性让此刻尽兴。,"你有点像加缪笔下的西西弗，但你是快乐的西西弗——你推石头不是因为相信石头会到达山顶，而是因为推石头这件事本身让你充实。你喜欢社交不是因为你需要人群，而是因为你计算过：良好的人际关系是幸福ROI最高的投资。你的人生哲学可以概括为：'反正最后都要死的，不如让过程精彩一点。'你的风险在于：有时你的'享乐'只是对虚无的逃避。"
RPSR,理性的斯多葛创造者,🏔️ 山顶的隐士,Rational,Stoic,Existentialist,Individualist,你在自己内心建造了一座城堡——理性是城墙，纪律是守卫。,"你是尼采和庄子的奇异混合体——你像尼采一样寻求自我超越，又像庄子一样对世俗保持距离。你不相信外在的权威，只相信自己的判断。孤独对你来说不是惩罚而是选择——你在孤独中充电，在思考中找到意义。你的信条是：'我不需要世界理解我，我只需要理解世界。'你的挑战：有时你太擅长独处了，以至于忘记了如何与他人连接。"
RPSC,理性的伊壁鸠鲁创造者,🍷 品鉴家,Rational,Epicurean,Existentialist,Individualist,你是一个用理性来优化体验的艺术品——人生是你精心策划的一场展览。,"你的精神近亲是王尔德和普鲁斯特——你相信生活的意义在于体验的质量而非数量。你不是冲动的享乐者，而是一个审美体验的收藏家：你知道什么样的音乐会让你感动、什么样的书会让你思考、什么样的人值得你花时间。你的人生是一场精心策划的私人展览。你的盲点：有时你的精致品味变成了一种逃避——你用审美代替了行动，用品鉴代替了创造。"
ERRR,感性的斯多葛公民,🤝 温暖的守护者,Emotional,Stoic,Essentialist,Communitarian,你用感性的温度调和纪律的冷硬，用共情维系共同体的纽带。,"你的精神原型是孔子和简·亚当斯——你相信秩序和传统是社会的基石，但你更相信这些基石需要人性的温度来粘合。你守纪律不是因为规则本身，而是因为你关心规则所保护的人。你是那种会在公司裁员时偷偷帮同事找工作的人，会在朋友失恋时送一碗热汤的人。你的力量在于稳定和关怀，但你的弱点是：有时你太在乎别人的感受，以至于忘了自己的边界。"
ERRC,感性的伊壁鸠鲁公民,🎪 快乐的织网者,Emotional,Epicurean,Essentialist,Communitarian,你相信幸福是分享的——你像一个在篝火旁讲故事的人，把快乐传递给每一个人。,"你的精神导师是伊壁鸠鲁（感性版）和罗杰斯——你相信人的基本需求是被理解和被接纳，而一个好的共同体就是满足这个需求的最佳方式。你喜欢组织聚会、建立社群、让人们感到被欢迎。你的快乐不是独享的，而是传染性的——当你笑的时候，整个房间都在笑。你的危险：有时你太想让所有人都开心，结果忘了自己到底想要什么。"
